id;blog_image;blog_image_content_type;image_number
1;../fake-data/blob/hipster.png;image/png;68240
2;../fake-data/blob/hipster.png;image/png;38768
3;../fake-data/blob/hipster.png;image/png;32692
4;../fake-data/blob/hipster.png;image/png;35357
5;../fake-data/blob/hipster.png;image/png;85265
6;../fake-data/blob/hipster.png;image/png;96254
7;../fake-data/blob/hipster.png;image/png;58589
8;../fake-data/blob/hipster.png;image/png;72151
9;../fake-data/blob/hipster.png;image/png;97499
10;../fake-data/blob/hipster.png;image/png;60836
